"Immune cell","LILRB1","CD33","SIGLEC9","LILRB2","HAVCR2","LAIR1","SIGLEC7","SIRPA","LILRB3","HLA-G"
"basophil",0.4,39.3,2.4,78.6,8.3,49.4,5.8,16.5,11.4,0
"Central memory CD8 T-cell",0.8,0.3,1.2,0,6.7,11.2,0,0,1.6,0
"classical monocyte",98,192.1,293,334.2,63.9,27.3,106.3,122.1,94.7,0
"Effector memory CD8 T-cell",29.1,0.3,13.4,0,15.5,21.7,0.8,0,0.6,0
"Exhausted memory B-cell",52.1,7.2,14.5,35.6,6,11.5,5.9,5.8,3.5,0
"intermediate monocyte",274.7,121.4,210.3,719.1,68.6,52.9,75,27.3,106.5,0
"MAIT T-cell",0,0.5,7.9,0,2.4,20.1,11.8,0,1.2,0
"Memory CD4 T-cell TFH",0.8,0.6,0.8,0,3.9,14.8,0,0,1.3,0.1
"Memory CD4 T-cell Th1",0.7,0.4,2.2,0,4.9,17.7,0.1,0,1.1,0
"Memory CD4 T-cell Th1/Th17",0.5,0.5,2.6,0,6.7,19,0,0,2.1,0
"Memory CD4 T-cell Th17",0.9,0.3,2.5,0,3.7,16.4,0.4,0,2.8,0
"Memory CD4 T-cell Th2",0.5,0.6,0.1,0,4.1,12.8,0,0,1.6,0.1
"myeloid DC",39.2,248.1,213.9,95.1,130.7,7.7,79.1,74,48.9,0
"naive B-cell",43.1,14.1,18.6,23.1,6.1,32.5,8.4,5.9,8.3,0
"naive CD4 T-cell",0.7,0.5,1.7,0,9.4,24.3,0,0,0.3,0
"naive CD8 T-cell",0.1,0.5,0.9,0,10.9,22.4,0,0,0.6,0.1
"neutrophil",0,12.4,276.5,241,2.9,1.1,83.6,179.2,254.5,0.1
"NK-cell",27.9,4.3,33.2,2.2,164.5,61.1,151.3,0.4,0.5,0.1
"non-classical monocyte",330.1,102.9,180.5,801.2,83.4,41.6,36.8,13.9,107.2,0
"Non-switched memory B-cell",57.7,10,13.1,20,5.3,16.9,7.7,5.5,3.7,0.5
"Non-Vd2 gdTCR",59.5,0.5,16.3,0,64.5,32.9,22.6,0,0.1,0
"Plasmablast",15.8,1.3,1.5,1.9,1.4,1.9,0.9,1.1,0.5,0
"plasmacytoid DC",110.5,6.1,13.1,44.9,22.4,121.5,7.4,1,1.7,0
"Progenitor cell",6.9,17.3,10.6,20.2,13.2,50.7,6.2,4.2,3.4,0.1
"Switched memory B-cell",44.4,6.3,13,18.5,6.6,9.2,4.2,2.6,4.1,1
"T-reg",0.6,1,1.3,0,8.6,17.9,0.1,0,0.9,0
"Terminal effector memory CD4 T-cell",24.4,0.6,45.9,0,4.7,11.8,1.8,0,1.2,0.1
"Terminal effector memory CD8 T-cell",69.3,0.1,13.7,0,15.4,31.1,3.1,0,0.4,0.1
"total PBMC",39.7,85.2,110.4,116.3,43.5,10.2,58.7,37.4,45.5,0
"Vd2 gdTCR",5.3,0.4,2.8,0,14.9,30.1,1.3,0,0.7,0
